hh_id,stratum,psu,domain_id,region,urban,tenure,design_weight,responded,phase2,y,eligible_count
H00006,ST01,P02,D01,EAST,1,OWN,11.55555556,0,0,,1
H00019,ST01,P01,D01,EAST,1,OWN,11.55555556,0,0,,5
H00020,ST01,P02,D01,EAST,1,OWN,11.55555556,0,0,,2
H00038,ST01,P02,D01,EAST,0,OWN,6.22222222,1,0,,3
H00070,ST01,P02,D01,EAST,0,OWN,6.22222222,1,1,1.11688214,1
H00073,ST01,P01,D01,EAST,0,OWN,6.22222222,1,1,1.15683599,1
H00076,ST01,P02,D01,EAST,0,RENT,6.22222222,1,1,1.48231399,1
H00087,ST01,P01,D02,EAST,1,RENT,11.55555556,0,0,,1
H00097,ST01,P01,D02,EAST,1,OWN,11.55555556,1,0,,2
H00101,ST01,P01,D02,EAST,1,RENT,11.55555556,0,0,,1
H00112,ST01,P02,D02,EAST,0,OWN,6.22222222,1,1,,1
H00117,ST01,P01,D02,EAST,0,OWN,6.22222222,1,1,0.84142589,1
H00130,ST01,P02,D02,EAST,0,OWN,6.22222222,1,0,,1
H00132,ST01,P02,D02,EAST,0,RENT,6.22222222,1,1,1.25454774,2
H00139,ST01,P01,D02,EAST,0,RENT,6.22222222,1,1,2.00945558,2
H00147,ST01,P01,D02,EAST,0,OWN,6.22222222,1,1,0.76599606,1
H00157,ST01,P01,D02,EAST,0,OWN,6.22222222,1,0,,3
H00158,ST01,P02,D02,EAST,0,OWN,6.22222222,1,1,1.09048343,1
H00166,ST02,P04,D03,EAST,1,OWN,34.66666667,1,1,1.52261289,1
H00173,ST02,P03,D03,EAST,1,OWN,14.85714286,1,1,1.89675402,1
H00177,ST02,P03,D03,EAST,1,OWN,14.85714286,0,0,,4
H00187,ST02,P03,D03,EAST,1,RENT,14.85714286,0,0,,1
H00191,ST02,P03,D03,EAST,1,OWN,14.85714286,1,1,1.96615629,2
H00192,ST02,P04,D03,EAST,1,RENT,34.66666667,1,0,,3
H00205,ST02,P03,D03,EAST,0,RENT,8.00000000,1,1,1.80481661,1
H00212,ST02,P04,D03,EAST,0,RENT,18.66666667,1,1,1.20808395,1
H00263,ST02,P03,D04,EAST,1,OWN,14.85714286,0,0,,1
H00267,ST02,P03,D04,EAST,1,RENT,14.85714286,0,0,,1
H00323,ST03,P05,D05,EAST,1,RENT,11.55555556,1,0,,1
H00327,ST03,P05,D05,EAST,1,RENT,11.55555556,1,0,,1
H00328,ST03,P06,D05,EAST,1,OWN,11.55555556,1,0,,1
H00334,ST03,P06,D05,EAST,1,RENT,11.55555556,1,1,2.35094807,2
H00346,ST03,P06,D05,EAST,1,OWN,11.55555556,0,0,,1
H00347,ST03,P05,D05,EAST,1,RENT,11.55555556,1,1,2.35804669,1
H00349,ST03,P05,D05,EAST,1,OWN,11.55555556,0,0,,1
H00367,ST03,P05,D05,EAST,1,OWN,11.55555556,0,0,,3
H00377,ST03,P05,D05,EAST,0,RENT,6.22222222,1,1,,1
H00405,ST03,P05,D06,EAST,1,RENT,11.55555556,1,1,,3
H00406,ST03,P06,D06,EAST,1,RENT,11.55555556,0,0,,1
H00408,ST03,P06,D06,EAST,1,RENT,11.55555556,1,0,,1
H00413,ST03,P05,D06,EAST,1,OWN,11.55555556,1,1,2.03337222,1
H00428,ST03,P06,D06,EAST,1,OWN,11.55555556,0,0,,2
H00432,ST03,P06,D06,EAST,1,OWN,11.55555556,1,0,,1
H00437,ST03,P05,D06,EAST,1,OWN,11.55555556,0,0,,1
H00442,ST03,P06,D06,EAST,1,OWN,11.55555556,0,0,,1
H00458,ST03,P06,D06,EAST,0,OWN,6.22222222,1,1,1.11908430,1
H00487,ST04,P07,D07,EAST,1,RENT,13.00000000,1,0,,1
H00490,ST04,P08,D07,EAST,1,OWN,20.80000000,1,1,2.12588790,1
H00492,ST04,P08,D07,EAST,1,RENT,20.80000000,1,0,,1
H00505,ST04,P07,D07,EAST,0,RENT,7.00000000,1,0,,3
H00506,ST04,P08,D07,EAST,0,OWN,11.20000000,1,1,1.11836466,1
H00513,ST04,P07,D07,EAST,0,RENT,7.00000000,1,1,1.33676950,2
H00522,ST04,P08,D07,EAST,0,OWN,11.20000000,1,1,1.74721484,3
H00525,ST04,P07,D07,EAST,0,RENT,7.00000000,0,0,,2
H00548,ST04,P08,D07,EAST,0,OWN,11.20000000,1,1,1.28484797,1
H00549,ST04,P07,D07,EAST,0,OWN,7.00000000,1,0,,1
H00585,ST04,P07,D08,EAST,0,OWN,7.00000000,1,1,1.12949736,1
H00593,ST04,P07,D08,EAST,0,RENT,7.00000000,1,1,1.20204084,4
H00621,ST04,P07,D08,EAST,0,OWN,7.00000000,1,1,1.30496621,5
H00647,ST05,P09,D09,NORTH,1,RENT,11.55555556,1,1,2.66790059,1
H00654,ST05,P10,D09,NORTH,1,RENT,11.55555556,1,1,2.83863558,1
H00657,ST05,P09,D09,NORTH,1,RENT,11.55555556,1,0,,2
H00659,ST05,P09,D09,NORTH,1,RENT,11.55555556,0,0,,1
H00660,ST05,P10,D09,NORTH,1,RENT,11.55555556,1,1,3.13741238,2
H00675,ST05,P09,D09,NORTH,0,OWN,6.22222222,1,1,1.49190500,1
H00684,ST05,P10,D09,NORTH,0,RENT,6.22222222,1,1,1.93615204,1
H00692,ST05,P10,D09,NORTH,0,OWN,6.22222222,1,1,1.31486411,1
H00694,ST05,P10,D09,NORTH,0,OWN,6.22222222,1,0,,2
