hh_id,responded,phase2,y,tenure,assigned,interview_domain
H00038,1,0,,OWN,0,EAST
H00070,1,1,1.11688214,OWN,0,EAST
H00073,1,1,1.15683599,OWN,1,EAST
H00076,1,1,1.48231399,RENT,0,EAST
H00097,1,0,,OWN,0,D02
H00112,1,1,,OWN,0,EAST
H00117,1,1,0.84142589,OWN,0,EAST
H00130,1,0,,OWN,0,EAST
H00132,1,1,1.25454774,RENT,1,EAST
H00139,1,1,2.00945558,RENT,0,EAST
H00147,1,1,0.76599606,OWN,0,EAST
H00157,1,0,,OWN,0,EAST
H00158,1,1,1.09048343,OWN,0,EAST
H00166,1,1,1.52261289,OWN,1,D03
H00173,1,1,1.89675402,OWN,1,D03
H00191,1,1,1.96615629,OWN,1,D03
H00192,1,0,,RENT,1,D03
H00205,1,1,1.80481661,RENT,1,EAST
H00212,1,1,1.20808395,RENT,0,EAST
H00323,1,0,,RENT,0,D05
H00327,1,0,,RENT,0,D05
H00328,1,0,,OWN,1,D05
H00334,1,1,2.35094807,RENT,1,D05
H00347,1,1,2.35804669,RENT,1,D05
H00377,1,1,,RENT,1,EAST
H00405,1,1,,RENT,1,D06
H00408,1,0,,RENT,1,D06
H00413,1,1,2.03337222,OWN,1,D06
H00432,1,0,,OWN,1,D06
H00458,1,1,1.11908430,OWN,1,EAST
H00487,1,0,,RENT,1,D07
H00490,1,1,2.12588790,OWN,1,D07
H00492,1,0,,RENT,1,D07
H00505,1,0,,RENT,0,EAST
H00506,1,1,1.11836466,OWN,0,EAST
H00513,1,1,1.33676950,RENT,0,EAST
H00522,1,1,1.74721484,OWN,0,EAST
H00548,1,1,1.28484797,OWN,0,EAST
H00549,1,0,,OWN,0,EAST
H00585,1,1,1.12949736,OWN,0,EAST
H00593,1,1,1.20204084,RENT,0,EAST
H00621,1,1,1.30496621,OWN,0,EAST
H00647,1,1,2.66790059,RENT,1,D09
H00654,1,1,2.83863558,RENT,1,D09
H00657,1,0,,RENT,1,D09
H00660,1,1,3.13741238,RENT,1,D09
H00675,1,1,1.49190500,OWN,0,NORTH
H00684,1,1,1.93615204,RENT,0,NORTH
H00692,1,1,1.31486411,OWN,0,NORTH
H00694,1,0,,OWN,0,NORTH
H00697,1,1,1.84190487,OWN,1,NORTH
H00699,1,1,1.44148236,OWN,1,NORTH
H00748,1,1,1.38712351,OWN,0,NORTH
H00772,1,1,1.80529331,RENT,1,NORTH
H00778,1,1,1.61423414,RENT,0,NORTH
H00789,1,1,1.88676785,RENT,0,NORTH
H00790,1,0,,OWN,0,NORTH
H00795,1,1,2.22551340,OWN,1,NORTH
H00825,1,1,3.15011547,RENT,1,D11
H00845,1,1,1.67878504,OWN,0,NORTH
H00854,1,1,1.97565540,OWN,0,NORTH
H00856,1,1,1.73685623,RENT,0,NORTH
H00859,1,1,1.60133974,OWN,0,NORTH
H00874,1,1,2.07680109,RENT,0,NORTH
H00877,1,1,2.08441998,RENT,1,NORTH
H00882,1,1,2.37451227,RENT,0,D12
H00883,1,1,3.31250215,RENT,1,D12
H00912,1,1,2.78243794,RENT,1,D12
H00931,1,1,1.59816680,OWN,1,NORTH
H00932,1,1,,RENT,0,NORTH
H00950,1,1,1.97931367,OWN,0,NORTH
H00951,1,1,1.48397411,OWN,0,NORTH
H00967,1,1,2.66076158,OWN,1,D13
H00972,1,1,2.53789486,RENT,1,D13
H00986,1,1,2.47477200,OWN,0,D13
H00989,1,1,2.61773970,OWN,0,D13
H00992,1,1,2.17487887,RENT,1,D13
H01003,1,1,,RENT,0,D13
H01013,1,1,1.87035837,RENT,0,NORTH
H01014,1,0,,OWN,1,NORTH
H01026,1,0,,RENT,1,NORTH
H01032,1,1,1.46356322,OWN,0,NORTH
H01046,1,1,2.81653624,RENT,0,D14
H01098,1,1,1.61108889,OWN,0,NORTH
H01100,1,1,1.91892101,RENT,0,NORTH
H01135,1,0,,OWN,1,D15
H01164,1,1,1.70024687,OWN,0,NORTH
H01166,1,1,,RENT,0,NORTH
H01192,1,1,2.12298661,RENT,0,NORTH
H01193,1,1,1.25875993,OWN,0,NORTH
H01220,1,1,2.85064275,RENT,1,D16
H01229,1,0,,OWN,0,NORTH
H01237,1,1,,RENT,0,NORTH
H01242,1,1,2.07437162,OWN,1,NORTH
H01254,1,0,,RENT,0,NORTH
H01255,1,0,,OWN,0,NORTH
H01257,1,1,1.97520502,RENT,1,NORTH
H01258,1,0,,RENT,1,NORTH
H01260,1,1,1.41766042,OWN,0,NORTH
H01269,1,1,1.74461126,RENT,0,NORTH
H01277,1,0,,RENT,1,NORTH
H01291,1,1,2.85047586,OWN,1,D17
H01310,1,1,2.39070042,RENT,0,SOUTH
H01313,1,1,2.11791602,OWN,0,SOUTH
H01314,1,0,,OWN,0,SOUTH
H01316,1,1,2.25106721,RENT,1,SOUTH
H01323,1,1,,RENT,0,SOUTH
H01325,1,1,1.79241496,OWN,1,SOUTH
H01337,1,0,,RENT,0,SOUTH
H01355,1,1,,RENT,1,SOUTH
H01366,1,0,,RENT,0,D18
H01373,1,1,2.81491303,OWN,1,D18
H01395,1,1,,OWN,1,SOUTH
H01404,1,0,,OWN,0,SOUTH
H01457,1,1,,RENT,1,D19
H01483,1,1,2.44040073,RENT,0,SOUTH
H01531,1,1,2.90141203,OWN,0,D20
H01536,1,1,2.79697240,OWN,0,D20
H01540,1,1,,RENT,0,D20
H01547,1,0,,OWN,1,D20
H01549,1,1,,OWN,0,D20
H01554,1,1,3.20264883,RENT,1,D20
H01556,1,1,,RENT,1,D20
H01557,1,1,2.53659695,RENT,0,SOUTH
