hh_id,listing_domain
H00000,L12
H00001,L10
H00002,L05
H00003,L07
H00004,L11
H00005,L08
H00006,L02
H00007,L01
H00008,L03
H00009,L11
H00010,L08
H00011,L01
H00012,L06
H00013,L13
H00014,L14
H00015,L06
H00016,L02
H00017,L01
H00018,L13
H00019,L06
H00020,L12
H00021,L02
H00022,L03
H00023,L10
H00024,L11
H00025,L11
H00026,L11
H00027,L12
H00028,L08
H00029,L04
H00030,L13
H00031,L07
H00032,L02
H00033,L05
H00034,L11
H00035,L07
H00036,L08
H00037,L05
H00038,L06
H00039,L06
H00040,L07
H00041,L12
H00042,L08
H00043,L12
H00044,L14
H00045,L11
H00046,L04
H00047,L06
H00048,L12
H00049,L08
H00050,L09
H00051,L04
H00052,L14
H00053,L04
H00054,L08
H00055,L05
H00056,L11
H00057,L04
H00058,L09
H00059,L05
H00060,L01
H00061,L12
H00062,L04
H00063,L04
H00064,L07
H00065,L04
H00066,L03
H00067,L11
H00068,L14
H00069,L06
H00070,L10
H00071,L13
H00072,L11
H00073,L05
H00074,L05
H00075,L01
H00076,L13
H00077,L10
H00078,L13
H00079,L09
H00080,L02
H00081,L02
H00082,L07
H00083,L13
H00084,L14
H00085,L11
H00086,L01
H00087,L03
H00088,L09
H00089,L03
H00090,L05
H00091,L05
H00092,L12
H00093,L02
H00094,L08
H00095,L01
H00096,L10
H00097,L13
H00098,L06
H00099,L08
H00100,L13
H00101,L09
H00102,L09
H00103,L07
H00104,L04
H00105,L02
H00106,L08
H00107,L04
H00108,L04
H00109,L14
H00110,L13
H00111,L04
H00112,L14
H00113,L05
H00114,L12
H00115,L06
H00116,L01
H00117,L02
H00118,L14
H00119,L08
H00120,L07
H00121,L12
H00122,L05
H00123,L09
H00124,L07
H00125,L06
H00126,L05
H00127,L05
H00128,L04
H00129,L11
H00130,L14
H00131,L13
H00132,L02
H00133,L13
H00134,L05
H00135,L01
H00136,L13
H00137,L14
H00138,L11
H00139,L07
H00140,L03
H00141,L11
H00142,L11
H00143,L10
H00144,L03
H00145,L06
H00146,L06
H00147,L06
H00148,L10
H00149,L06
H00150,L03
H00151,L09
H00152,L10
H00153,L02
H00154,L01
H00155,L01
H00156,L02
H00157,L11
H00158,L08
H00159,L04
H00160,L10
H00161,L03
H00162,L14
H00163,L13
H00164,L06
H00165,L09
H00166,L05
H00167,L05
H00168,L01
H00169,L14
H00170,L03
H00171,L13
H00172,L02
H00173,L05
H00174,L14
H00175,L11
H00176,L13
H00177,L02
H00178,L11
H00179,L02
H00180,L04
H00181,L06
H00182,L02
H00183,L09
H00184,L07
H00185,L09
H00186,L06
H00187,L13
H00188,L06
H00189,L01
H00190,L04
H00191,L12
H00192,L08
H00193,L09
H00194,L10
H00195,L05
H00196,L03
H00197,L14
H00198,L11
H00199,L04
H00200,L14
H00201,L08
H00202,L01
H00203,L06
H00204,L04
H00205,L03
