hh_id,eligible_count
H00070,1
H00073,1
H00076,1
H00112,1
H00117,1
H00132,2
H00139,2
H00147,1
H00158,1
H00166,1
H00173,1
H00191,2
H00205,1
H00212,1
H00334,2
H00347,1
H00377,1
H00405,3
H00413,1
H00458,1
H00490,1
H00506,1
H00513,2
H00522,3
H00548,1
H00585,1
H00593,4
H00621,5
H00647,1
H00654,1
H00660,2
H00675,1
H00684,1
H00692,1
H00697,1
H00699,1
H00748,1
H00772,1
H00778,1
H00789,3
H00795,5
H00825,4
H00845,1
H00854,2
H00856,3
H00859,1
H00874,1
H00877,3
H00882,1
H00883,1
H00912,1
H00931,3
H00932,4
H00950,3
H00951,4
H00967,1
H00972,1
H00986,5
H00989,1
H00992,1
H01003,1
H01013,1
H01032,1
H01046,3
H01098,1
H01100,1
H01164,1
H01166,2
H01192,1
H01193,1
H01220,2
H01237,1
H01242,1
H01257,2
H01260,2
H01269,3
H01291,3
H01310,3
H01313,1
H01316,1
H01323,1
H01325,1
H01355,3
H01373,2
H01395,5
H01457,2
H01483,1
H01531,4
H01536,4
H01540,1
H01549,5
H01554,5
H01556,1
H01557,1
H01581,1
H01601,1
H01661,1
H01703,3
H01727,5
H01754,1
H01781,1
H01782,1
H01789,1
H01801,1
H01808,1
H01811,2
H01814,1
H01833,1
H01837,1
H01848,1
H01850,1
H01868,1
H01869,1
H01914,1
H01917,1
H01926,1
H01937,1
H01943,1
H01953,1
H01954,1
H01974,2
H01987,2
H02007,1
H02049,4
H02077,2
H02090,4
H02124,1
H02127,1
H02135,1
H02143,2
H02152,3
H02157,2
H02183,2
H02195,3
H02212,1
H02224,1
H02232,1
H02235,1
H02257,1
H02263,1
H02275,2
H02311,1
H02335,1
H02361,1
H02364,1
H02370,1
