hh_id,stratum,psu,listing_domain,region,urban,design_weight,list_seq
H00012,ST01,P02,D01,EAST,1,8.00000000,1
H00013,ST01,P01,D01,EAST,1,8.00000000,1
H00018,ST01,P02,D01,EAST,1,64.00000000,1
H00023,ST01,P01,D01,EAST,1,64.00000000,1
H00026,ST01,P02,D01,EAST,0,8.00000000,1
H00036,ST01,P02,D01,EAST,0,8.00000000,1
H00048,ST01,P02,D01,EAST,0,8.00000000,1
H00049,ST01,P01,D01,EAST,0,8.00000000,1
H00053,ST01,P01,D01,EAST,0,8.00000000,1
H00065,ST01,P01,D01,EAST,0,8.00000000,1
H00067,ST01,P01,D01,EAST,0,8.00000000,1
H00075,ST01,P01,D01,EAST,0,8.00000000,1
H00077,ST01,P01,D01,EAST,0,8.00000000,1
H00086,ST01,P02,D02,EAST,1,8.00000000,1
H00089,ST01,P01,D02,EAST,1,8.00000000,1
H00090,ST01,P02,D02,EAST,1,64.00000000,1
H00094,ST01,P02,D02,EAST,1,64.00000000,1
H00098,ST01,P02,D02,EAST,1,8.00000000,1
H00107,ST01,P01,D02,EAST,0,8.00000000,1
H00126,ST01,P02,D02,EAST,0,8.00000000,1
H00127,ST01,P01,D02,EAST,0,8.00000000,1
H00139,ST01,P01,D02,EAST,0,8.00000000,1
H00144,ST01,P02,D02,EAST,0,8.00000000,1
H00160,ST01,P02,D02,EAST,0,8.00000000,1
H00164,ST02,P04,D03,EAST,1,8.00000000,1
H00182,ST02,P04,D03,EAST,1,8.00000000,1
H00201,ST02,P03,D03,EAST,0,64.00000000,1
H00204,ST02,P04,D03,EAST,0,8.00000000,1
H00207,ST02,P03,D03,EAST,0,8.00000000,1
H00225,ST02,P03,D03,EAST,0,8.00000000,1
H00235,ST02,P03,D03,EAST,0,8.00000000,1
H00244,ST02,P04,D04,EAST,1,8.00000000,1
H00246,ST02,P04,D04,EAST,1,64.00000000,1
H00248,ST02,P04,D04,EAST,1,8.00000000,1
H00254,ST02,P04,D04,EAST,1,64.00000000,1
H00260,ST02,P04,D04,EAST,1,8.00000000,1
H00263,ST02,P03,D04,EAST,1,64.00000000,1
H00267,ST02,P03,D04,EAST,1,8.00000000,1
H00271,ST02,P03,D04,EAST,1,8.00000000,1
H00277,ST02,P03,D04,EAST,0,8.00000000,1
H00286,ST02,P04,D04,EAST,0,8.00000000,1
H00287,ST02,P03,D04,EAST,0,8.00000000,1
H00293,ST02,P03,D04,EAST,0,8.00000000,1
H00298,ST02,P04,D04,EAST,0,8.00000000,1
H00313,ST02,P03,D04,EAST,0,8.00000000,1
H00314,ST02,P04,D04,EAST,0,8.00000000,1
H00319,ST02,P03,D04,EAST,0,8.00000000,1
H00320,ST02,P04,D04,EAST,0,8.00000000,1
H00327,ST03,P05,D05,EAST,1,8.00000000,1
H00329,ST03,P05,D05,EAST,1,8.00000000,1
H00332,ST03,P06,D05,EAST,1,8.00000000,1
H00333,ST03,P05,D05,EAST,1,8.00000000,1
H00337,ST03,P05,D05,EAST,1,8.00000000,1
H00352,ST03,P06,D05,EAST,1,64.00000000,1
H00358,ST03,P06,D05,EAST,1,8.00000000,1
