hh_id,eligible_count
H00012,1
H00013,1
H00018,1
H00023,1
H00026,1
H00036,1
H00048,1
H00049,1
H00053,1
H00065,1
H00067,1
H00075,1
H00077,1
H00086,1
H00089,1
H00090,1
H00094,1
H00098,1
H00107,1
H00126,1
H00127,1
H00139,1
H00144,1
H00160,1
H00164,1
H00182,1
H00201,1
H00204,1
H00207,1
H00225,1
H00235,1
H00244,1
H00246,1
H00248,1
H00254,1
H00260,1
H00263,1
H00267,1
H00271,1
H00277,1
H00286,1
H00287,1
H00293,1
H00298,1
H00313,1
H00314,1
H00319,1
H00320,1
H00327,1
H00329,1
H00332,1
H00333,1
H00337,1
H00352,1
H00358,1
H00362,1
H00368,1
H00369,1
H00388,1
H00397,1
H00398,1
H00405,1
H00413,1
H00414,1
H00424,1
H00426,1
H00430,1
H00439,1
H00457,1
H00461,1
H00465,1
H00474,1
H00481,1
H00485,1
H00490,1
H00500,1
H00513,1
H00515,1
H00520,1
H00525,1
H00526,1
H00527,1
H00532,1
H00533,1
H00554,1
H00563,1
H00564,1
H00567,1
H00593,1
H00595,1
H00599,1
H00610,1
H00612,1
H00626,1
H00636,1
H00638,1
H00647,1
H00648,1
H00654,1
H00659,1
H00671,1
H00677,1
H00680,1
H00690,1
H00691,1
H00695,1
H00702,1
H00709,1
H00720,1
H00723,1
H00730,1
H00741,1
H00743,1
H00748,1
H00760,1
H00763,1
H00770,1
H00784,1
H00792,1
H00795,1
H00801,1
H00806,1
H00816,1
H00825,1
H00844,1
H00847,1
H00850,1
H00854,1
H00856,1
H00859,1
H00881,1
H00890,1
H00900,1
H00903,1
H00914,1
H00918,1
H00919,1
H00925,1
H00931,1
H00935,1
H00940,1
H00949,1
H00957,1
H00960,1
H00967,1
H00974,1
H00977,1
H00980,1
H00990,1
H00992,1
H00993,1
H01002,1
H01005,1
H01012,1
H01017,1
H01018,1
H01038,1
H01039,1
H01041,1
H01054,1
H01059,1
H01060,1
H01063,1
H01087,1
H01095,1
H01103,1
H01112,1
H01118,1
H01121,1
H01127,1
H01128,1
H01131,1
H01132,1
H01137,1
H01138,1
H01147,1
H01158,1
H01165,1
H01174,1
H01175,1
H01184,1
H01186,1
H01206,1
H01209,1
H01210,1
H01212,1
H01217,1
H01225,1
H01234,1
H01235,1
H01260,1
H01267,1
H01283,1
H01284,1
H01292,1
H01294,1
H01300,1
H01301,1
H01327,1
H01340,1
H01344,1
H01347,1
H01348,1
H01355,1
H01360,1
H01364,1
H01365,1
H01377,1
H01380,1
H01385,1
H01397,1
H01405,1
H01415,1
H01429,1
H01434,1
H01438,1
H01441,1
H01447,1
H01454,1
H01457,1
H01463,1
H01470,1
H01486,1
H01490,1
H01494,1
H01502,1
H01503,1
H01507,1
H01517,1
H01528,1
H01535,1
H01555,1
H01568,1
H01576,1
H01577,1
H01582,1
H01593,1
H01594,1
H01595,1
H01600,1
H01606,1
H01607,1
H01611,1
H01624,1
H01625,1
H01636,1
H01645,1
H01649,1
H01650,1
H01656,1
H01658,1
H01668,1
H01674,1
H01675,1
H01685,1
H01700,1
H01705,1
H01715,1
H01717,1
H01720,1
H01722,1
H01741,1
H01749,1
H01756,1
H01767,1
H01775,1
H01780,1
H01791,1
H01798,1
H01800,1
H01801,1
H01807,1
H01810,1
H01817,1
H01824,1
H01831,1
H01837,1
H01854,1
H01855,1
H01868,1
H01871,1
H01877,1
H01883,1
H01884,1
H01888,1
H01892,1
H01902,1
H01906,1
H01928,1
H01934,1
H01936,1
H01943,1
H01951,1
H01955,1
H01968,1
H01974,1
H01978,1
H01988,1
H01996,1
H02005,1
H02012,1
H02019,1
H02020,1
H02021,1
H02025,1
H02033,1
H02034,1
H02048,1
H02053,1
H02067,1
H02071,1
H02077,1
H02084,1
H02085,1
H02088,1
H02102,1
H02103,1
H02109,1
H02114,1
H02117,1
H02120,1
H02125,1
H02126,1
H02130,1
H02141,1
H02142,1
H02158,1
H02159,1
H02175,1
H02185,1
H02202,1
H02217,1
H02227,1
H02232,1
H02234,1
H02239,1
H02245,1
H02246,1
H02249,1
H02250,1
H02253,1
H02258,1
H02259,1
H02267,1
H02272,1
H02279,1
H02281,1
H02316,1
H02321,1
H02337,1
H02348,1
H02354,1
H02362,1
H02381,1
H02383,1
H02386,1
H02390,1
H02392,1
H02394,1
H02395,1
H02403,1
H02404,1
H02412,1
H02426,1
H02438,1
H02448,1
H02451,1
H02457,1
H02476,1
H02487,1
H02490,1
H02494,1
H02499,1
H02503,1
H02505,1
H02514,1
H02521,1
H02522,1
H02527,1
H02542,1
H02545,1
H02551,1
H02554,1
H02557,1
