hh_id,listing_domain
H00000,L04
H00001,L04
H00002,L04
H00003,L05
H00004,L03
H00005,L06
H00006,L03
H00007,L06
H00008,L06
H00009,L07
H00010,L03
H00011,L04
H00012,L08
H00013,L04
H00014,L05
H00015,L04
H00016,L02
H00017,L01
H00018,L03
H00019,L01
H00020,L03
H00021,L02
H00022,L04
H00023,L09
H00024,L07
H00025,L05
H00026,L02
H00027,L09
H00028,L02
H00029,L03
H00030,L09
H00031,L04
H00032,L02
H00033,L04
H00034,L01
H00035,L06
H00036,L09
H00037,L07
H00038,L01
H00039,L05
H00040,L06
H00041,L02
H00042,L07
H00043,L03
H00044,L05
H00045,L02
H00046,L04
H00047,L02
H00048,L08
H00049,L07
H00050,L08
H00051,L07
H00052,L06
H00053,L05
H00054,L02
H00055,L07
H00056,L05
H00057,L04
H00058,L03
H00059,L08
H00060,L05
H00061,L07
H00062,L05
H00063,L01
H00064,L06
H00065,L09
H00066,L01
H00067,L03
H00068,L02
H00069,L05
H00070,L06
H00071,L02
H00072,L09
H00073,L01
H00074,L07
H00075,L08
H00076,L09
H00077,L06
H00078,L04
H00079,L07
H00080,L03
H00081,L03
H00082,L08
H00083,L06
H00084,L05
H00085,L02
H00086,L02
H00087,L05
H00088,L03
H00089,L01
H00090,L02
H00091,L03
H00092,L07
H00093,L07
H00094,L07
H00095,L05
H00096,L07
H00097,L02
H00098,L04
H00099,L01
H00100,L07
H00101,L08
H00102,L03
H00103,L02
H00104,L04
H00105,L09
H00106,L08
H00107,L07
H00108,L01
H00109,L06
H00110,L02
H00111,L07
H00112,L09
H00113,L03
H00114,L03
H00115,L08
H00116,L01
H00117,L04
H00118,L09
H00119,L07
H00120,L06
H00121,L02
H00122,L03
H00123,L03
H00124,L08
H00125,L06
H00126,L04
H00127,L05
H00128,L05
H00129,L02
H00130,L05
H00131,L09
H00132,L06
H00133,L06
H00134,L05
H00135,L09
H00136,L03
H00137,L05
H00138,L08
H00139,L02
H00140,L08
H00141,L04
H00142,L05
H00143,L01
H00144,L09
H00145,L03
H00146,L02
H00147,L06
H00148,L02
H00149,L08
H00150,L01
H00151,L04
H00152,L07
H00153,L05
H00154,L04
H00155,L04
H00156,L01
H00157,L06
H00158,L04
H00159,L05
H00160,L01
H00161,L05
H00162,L07
H00163,L05
H00164,L01
H00165,L07
H00166,L04
H00167,L04
H00168,L01
H00169,L09
H00170,L09
H00171,L02
H00172,L03
H00173,L04
H00174,L08
H00175,L09
H00176,L09
H00177,L09
H00178,L07
H00179,L01
H00180,L09
H00181,L08
H00182,L03
H00183,L07
H00184,L04
H00185,L05
H00186,L02
H00187,L06
H00188,L09
H00189,L08
H00190,L06
H00191,L03
H00192,L03
H00193,L02
H00194,L02
H00195,L08
H00196,L05
H00197,L01
H00198,L06
H00199,L04
