hh_id,responded,phase2,y,tenure,interview_domain
H00007,1,1,2.26098553,RENT,D01
H00012,1,1,2.44513033,RENT,D01
H00015,1,1,2.13283821,OWN,D01
H00042,1,1,,RENT,D01
H00047,1,1,,RENT,D01
H00048,1,1,1.14808992,OWN,D01
H00051,1,1,1.15678822,OWN,D01
H00059,1,1,1.52572279,OWN,D01
H00060,1,1,1.15545277,OWN,D01
H00062,1,1,1.51464617,RENT,D01
H00063,1,1,0.92481145,OWN,D01
H00067,1,1,0.88501651,OWN,D01
H00076,1,1,1.48231399,RENT,D01
H00086,1,1,1.92208913,OWN,D02
H00098,1,1,2.25509264,OWN,D02
H00113,1,1,1.36813745,OWN,D02
H00118,1,1,1.82615286,RENT,D02
H00129,1,1,,RENT,D02
H00131,1,1,1.34498852,OWN,D02
H00137,1,1,1.22179413,OWN,D02
H00138,1,1,1.52028354,RENT,D02
H00140,1,1,0.80241344,OWN,D02
H00154,1,1,1.40100047,RENT,D02
H00155,1,1,1.06764771,OWN,D02
H00162,1,1,2.33052827,RENT,D03
H00168,1,1,2.20780416,OWN,D03
H00169,1,1,2.51089592,OWN,D03
H00170,1,1,2.21558993,OWN,D03
H00175,1,1,1.68146224,OWN,D03
H00195,1,1,1.92619022,OWN,D03
H00198,1,1,1.39546014,OWN,D03
H00205,1,1,1.80481661,RENT,D03
H00213,1,1,1.58985023,OWN,D03
H00214,1,1,1.51510300,OWN,D03
H00227,1,1,0.82982101,OWN,D03
H00233,1,1,1.31879042,OWN,D03
H00239,1,1,0.98766831,OWN,D03
H00245,1,1,2.10338648,RENT,D04
H00246,1,1,2.11197101,OWN,D04
H00250,1,1,1.80737447,OWN,D04
H00270,1,1,2.39013434,RENT,D04
H00287,1,1,0.98974610,OWN,D04
H00292,1,1,0.90688080,OWN,D04
H00295,1,1,1.30209805,OWN,D04
H00298,1,1,1.07156158,OWN,D04
H00302,1,1,,RENT,D04
H00315,1,1,1.95651104,RENT,D04
H00318,1,1,1.02058668,OWN,D04
H00323,1,1,2.23264456,RENT,D05
H00327,1,1,,RENT,D05
H00346,1,1,2.10901458,OWN,D05
H00347,1,1,,RENT,D05
H00348,1,1,1.63351519,OWN,D05
H00349,1,1,1.94400716,OWN,D05
H00350,1,1,2.22884772,RENT,D05
H00351,1,1,2.14325543,RENT,D05
H00353,1,1,,OWN,D05
H00354,1,1,,RENT,D05
H00365,1,1,2.59818566,RENT,D05
H00394,1,1,0.68866694,RENT,D05
H00400,1,1,1.66490235,OWN,D05
H00422,1,1,,RENT,D06
H00428,1,1,2.00188614,OWN,D06
H00431,1,1,2.46137625,RENT,D06
H00433,1,1,1.65563584,OWN,D06
H00447,1,1,1.95752060,OWN,D06
H00453,1,1,1.31458509,OWN,D06
H00456,1,1,,RENT,D06
H00460,1,1,0.73986909,OWN,D06
H00464,1,1,1.35056220,RENT,D06
H00465,1,1,1.07377992,RENT,D06
H00468,1,1,,RENT,D06
H00502,1,1,,RENT,D07
H00506,1,1,1.11836466,OWN,D07
H00509,1,1,1.35584918,OWN,D07
H00516,1,1,,RENT,D07
H00527,1,1,0.86874418,OWN,D07
H00529,1,1,1.46817642,RENT,D07
H00535,1,1,0.94190551,OWN,D07
H00541,1,1,0.81957657,OWN,D07
H00547,1,1,0.62211860,OWN,D07
H00554,1,1,,OWN,D07
H00564,1,1,2.48754477,RENT,D08
H00565,1,1,1.61508678,RENT,D08
H00567,1,1,,RENT,D08
H00568,1,1,2.26370867,OWN,D08
H00574,1,1,2.03711685,OWN,D08
H00578,1,1,1.62842348,OWN,D08
H00591,1,1,0.91475333,OWN,D08
H00603,1,1,,RENT,D08
H00620,1,1,1.02618051,OWN,D08
H00628,1,1,1.47297266,RENT,D08
H00629,1,1,1.40028333,RENT,D08
H00635,1,1,1.47648123,RENT,D08
H00638,1,1,1.46150222,OWN,D08
H00640,1,1,,RENT,D08
H00647,1,1,,RENT,D09
H00649,1,1,,RENT,D09
H00650,1,1,2.54341926,OWN,D09
H00651,1,1,2.28238928,OWN,D09
H00655,1,1,2.45570439,OWN,D09
H00657,1,1,,RENT,D09
H00658,1,1,2.41667386,OWN,D09
H00666,1,1,,RENT,D09
H00678,1,1,1.92521031,RENT,D09
H00689,1,1,1.07178072,OWN,D09
H00698,1,1,1.77590986,RENT,D09
H00706,1,1,1.84090484,RENT,D09
H00711,1,1,1.67042030,OWN,D09
H00716,1,1,1.47132866,OWN,D09
H00718,1,1,1.63021249,RENT,D09
H00719,1,1,1.40311662,OWN,D09
H00722,1,1,2.35271262,RENT,D10
H00725,1,1,2.46083827,OWN,D10
H00726,1,1,3.15721765,OWN,D10
H00727,1,1,2.30997307,OWN,D10
H00729,1,1,2.30767004,OWN,D10
H00736,1,1,2.52035247,RENT,D10
H00743,1,1,,RENT,D10
H00778,1,1,1.61423414,RENT,D10
H00801,1,1,2.28105920,RENT,D11
H00810,1,1,2.96136239,RENT,D11
H00813,1,1,2.93017610,RENT,D11
H00814,1,1,2.26291330,OWN,D11
H00816,1,1,2.08259374,OWN,D11
H00825,1,1,3.15011547,RENT,D11
H00842,1,1,1.40457540,RENT,D11
H00851,1,1,1.25256182,OWN,D11
H00859,1,1,1.60133974,OWN,D11
H00863,1,1,1.61491513,OWN,D11
H00865,1,1,1.72131581,OWN,D11
H00875,1,1,1.58586065,OWN,D11
