hh_id,responded,phase2,y,tenure,assigned,interview_domain
H00003,1,1,2.67911033,RENT,1,D01
H00007,1,1,2.26098553,RENT,1,D01
H00012,1,1,2.44513033,RENT,1,D01
H00025,1,1,1.25043957,RENT,1,D01
H00028,1,1,1.82147929,RENT,1,D01
H00035,1,1,1.48337431,RENT,1,D01
H00042,1,1,1.17621472,RENT,1,D01
H00043,1,1,1.17941263,OWN,1,D01
H00052,1,1,1.50695271,RENT,0,D01
H00056,1,1,1.64648056,RENT,1,D01
H00057,1,1,0.99270609,OWN,0,D01
H00072,1,1,0.98084075,OWN,0,D01
H00075,1,1,0.72490399,OWN,0,D01
H00085,1,1,1.51635678,OWN,1,D02
H00094,1,1,1.96938716,RENT,1,D02
H00098,1,1,2.25509264,OWN,1,D02
H00109,1,1,1.15573431,OWN,0,D02
H00119,1,1,1.45298718,OWN,0,D02
H00138,1,1,1.52028354,RENT,0,D02
H00145,1,1,1.53239041,RENT,0,D02
H00149,1,1,1.23600450,OWN,0,D02
H00150,1,1,1.00121159,RENT,0,D02
H00152,1,1,1.01419290,RENT,1,D02
H00156,1,1,1.04002270,OWN,0,D02
H00163,1,1,2.32035356,RENT,1,D03
H00169,1,1,2.51089592,OWN,1,D03
H00176,1,1,2.16298500,OWN,0,D03
H00177,1,1,1.82644620,OWN,1,D03
H00180,1,1,1.83197149,RENT,1,D03
H00181,1,1,2.14164066,RENT,1,D03
H00186,1,1,2.20166216,OWN,1,D03
H00194,1,1,2.51807770,RENT,1,D03
H00196,1,1,2.36081194,RENT,1,D03
H00197,1,1,0.84205869,OWN,0,D03
H00202,1,1,1.27700144,OWN,0,D03
H00228,1,1,2.01755339,RENT,0,D03
H00231,1,1,1.46500410,RENT,1,D03
H00256,1,1,2.08006947,OWN,0,D04
H00258,1,1,2.71633123,RENT,1,D04
H00273,1,1,2.27484101,RENT,1,D04
H00283,1,1,1.33399675,OWN,0,D04
H00292,1,1,0.90688080,OWN,0,D04
H00293,1,1,1.66413518,OWN,0,D04
H00307,1,1,1.01958337,OWN,0,D04
H00308,1,1,1.07345069,OWN,0,D04
H00309,1,1,0.96569961,OWN,0,D04
H00316,1,1,1.28457292,RENT,1,D04
H00319,1,1,1.19149553,OWN,0,D04
H00322,1,1,2.28297902,RENT,1,D05
H00323,1,1,2.23264456,RENT,1,D05
H00330,1,1,2.19905477,RENT,1,D05
H00338,1,1,1.97011392,OWN,1,D05
H00348,1,1,1.63351519,OWN,1,D05
H00373,1,1,1.38832430,OWN,1,D05
H00377,1,1,1.62471864,RENT,0,D05
H00391,1,1,1.13369801,OWN,0,D05
H00393,1,1,1.12312749,OWN,0,D05
H00399,1,1,1.41839301,RENT,1,D05
H00401,1,1,2.24218016,OWN,1,D06
H00402,1,1,1.79272818,OWN,0,D06
H00416,1,1,2.20530378,OWN,0,D06
H00424,1,1,2.07848812,OWN,0,D06
H00431,1,1,2.46137625,RENT,1,D06
H00435,1,1,2.40451808,RENT,1,D06
H00440,1,1,1.95463908,OWN,1,D06
H00441,1,1,1.95151595,RENT,1,D06
H00446,1,1,1.62676759,OWN,1,D06
H00454,1,1,1.32484642,OWN,0,D06
H00466,1,1,1.46550698,OWN,0,D06
H00469,1,1,1.16272098,OWN,0,D06
H00471,1,1,1.52195315,RENT,0,D06
H00474,1,1,1.60289628,RENT,1,D06
H00482,1,1,2.10729987,RENT,1,D07
H00485,1,1,2.32500843,OWN,1,D07
H00493,1,1,2.03737034,RENT,1,D07
H00499,1,1,2.49822885,RENT,1,D07
H00518,1,1,1.00432720,OWN,0,D07
H00525,1,1,1.85445611,RENT,0,D07
H00537,1,1,0.96161969,OWN,1,D07
H00538,1,1,1.59656795,OWN,0,D07
H00542,1,1,1.27040674,OWN,0,D07
H00550,1,1,1.08630486,OWN,0,D07
H00554,1,1,1.27942276,OWN,0,D07
H00558,1,1,1.19059317,OWN,1,D07
H00563,1,1,2.17455737,RENT,1,D08
H00564,1,1,2.48754477,RENT,1,D08
H00577,1,1,2.64886374,RENT,1,D08
H00586,1,1,1.52100404,RENT,0,D08
H00591,1,1,0.91475333,OWN,1,D08
H00593,1,1,1.20204084,RENT,0,D08
H00596,1,1,1.03711043,OWN,0,D08
H00612,1,1,1.89348380,RENT,1,D08
H00615,1,1,0.86479319,OWN,0,D08
H00631,1,1,0.99440744,OWN,0,D08
H00635,1,1,1.47648123,RENT,0,D08
H00636,1,1,1.25346665,RENT,0,D08
H00642,1,1,2.36036013,RENT,1,D09
H00650,1,1,2.54341926,OWN,1,D09
H00654,1,1,2.83863558,RENT,0,D09
H00661,1,1,2.64762753,RENT,0,D09
H00670,1,1,1.96216852,RENT,1,D09
H00674,1,1,1.95660454,RENT,0,D09
H00675,1,1,1.49190500,OWN,0,D09
H00681,1,1,1.87927808,OWN,0,D09
H00685,1,1,1.84200091,OWN,0,D09
H00690,1,1,1.70658903,OWN,1,D09
H00695,1,1,1.76358884,OWN,0,D09
H00697,1,1,1.84190487,OWN,1,D09
H00706,1,1,1.84090484,RENT,0,D09
H00709,1,1,2.19502560,RENT,0,D09
H00727,1,1,2.30997307,OWN,0,D10
H00730,1,1,2.31878456,RENT,1,D10
H00747,1,1,2.58908915,RENT,0,D10
H00751,1,1,1.70995431,OWN,0,D10
H00758,1,1,1.37813191,OWN,0,D10
H00767,1,1,2.40287502,RENT,0,D10
H00782,1,1,1.66256710,OWN,0,D10
H00788,1,1,1.79438687,OWN,0,D10
H00795,1,1,2.22551340,OWN,0,D10
H00798,1,1,1.86582650,OWN,0,D10
H00803,1,1,2.90513361,RENT,1,D11
H00811,1,1,2.67854428,OWN,0,D11
H00817,1,1,2.69451506,RENT,1,D11
H00822,1,1,2.13992053,OWN,1,D11
H00840,1,1,1.06715668,OWN,0,D11
H00853,1,1,1.15129488,OWN,0,D11
H00857,1,1,1.82983124,OWN,1,D11
H00858,1,1,1.65558545,RENT,0,D11
H00873,1,1,1.55637468,OWN,0,D11
H00878,1,1,1.86131573,OWN,0,D11
H00879,1,1,1.40527395,OWN,0,D11
H00885,1,1,2.94544689,RENT,1,D12
H00888,1,1,2.12973631,OWN,0,D12
H00890,1,1,1.83603884,OWN,0,D12
H00892,1,1,2.30473906,OWN,1,D12
H00895,1,1,2.70164018,OWN,1,D12
H00897,1,1,3.05904870,RENT,1,D12
H00904,1,1,1.97674120,RENT,1,D12
H00905,1,1,2.52876849,RENT,1,D12
H00906,1,1,2.39752162,RENT,0,D12
H00916,1,1,2.27352612,RENT,0,D12
H00922,1,1,1.19970891,OWN,0,D12
H00928,1,1,1.54698516,OWN,0,D12
H00937,1,1,1.85192762,RENT,1,D12
H00976,1,1,2.32813617,RENT,0,D13
H00980,1,1,2.49810510,OWN,1,D13
H00981,1,1,2.78181979,RENT,1,D13
H00982,1,1,2.17663714,OWN,0,D13
H00995,1,1,2.36599089,OWN,1,D13
H00997,1,1,2.63351856,RENT,1,D13
H01000,1,1,2.63617231,OWN,0,D13
H01004,1,1,2.87167742,RENT,1,D13
H01012,1,1,1.17990035,OWN,0,D13
H01027,1,1,1.17737561,OWN,0,D13
H01046,1,1,2.81653624,RENT,1,D14
H01060,1,1,2.34629310,OWN,1,D14
H01067,1,1,3.46553851,RENT,1,D14
H01075,1,1,2.75932077,RENT,1,D14
H01076,1,1,2.72630740,RENT,0,D14
H01079,1,1,2.16507538,OWN,1,D14
H01081,1,1,2.39737289,RENT,0,D14
H01085,1,1,2.63739770,OWN,1,D14
H01089,1,1,2.11581142,OWN,1,D14
H01102,1,1,1.52272404,OWN,1,D14
H01104,1,1,1.43480417,OWN,0,D14
H01105,1,1,1.29455252,OWN,0,D14
H01112,1,1,2.05079310,RENT,0,D14
H01113,1,1,1.66766413,RENT,0,D14
H01121,1,1,2.48423408,OWN,0,D15
H01134,1,1,2.28628410,OWN,0,D15
H01145,1,1,1.36161988,OWN,0,D15
H01146,1,1,1.89185128,RENT,0,D15
H01149,1,1,1.67021033,RENT,0,D15
H01156,1,1,1.41423328,OWN,0,D15
H01164,1,1,1.70024687,OWN,0,D15
H01178,1,1,1.64971577,OWN,0,D15
H01185,1,1,1.95197120,RENT,1,D15
H01188,1,1,1.48483042,OWN,0,D15
H01206,1,1,2.12424144,RENT,0,D16
H01210,1,1,2.34909627,RENT,0,D16
H01221,1,1,2.81437291,RENT,1,D16
H01228,1,1,2.12540598,RENT,0,D16
H01236,1,1,1.91126366,RENT,0,D16
H01239,1,1,1.93050356,OWN,1,D16
H01241,1,1,0.97367600,OWN,1,D16
H01245,1,1,1.44016580,OWN,0,D16
H01251,1,1,1.38921624,RENT,1,D16
H01253,1,1,1.36152275,OWN,1,D16
H01258,1,1,1.91573685,RENT,0,D16
H01261,1,1,2.26508865,OWN,0,D16
H01266,1,1,1.65823567,OWN,0,D16
H01269,1,1,1.74461126,RENT,1,D16
H01288,1,1,2.82514010,OWN,1,D17
H01295,1,1,2.79667563,OWN,1,D17
H01297,1,1,3.27105283,RENT,0,D17
H01300,1,1,2.92415979,RENT,1,D17
H01307,1,1,2.14930676,RENT,1,D17
H01320,1,1,2.57423831,RENT,1,D17
H01328,1,1,2.09834815,RENT,1,D17
H01330,1,1,1.69784591,OWN,0,D17
H01337,1,1,2.27080978,RENT,1,D17
H01347,1,1,2.08258120,OWN,0,D17
H01348,1,1,2.30045358,OWN,0,D17
H01352,1,1,1.98257799,OWN,1,D17
H01356,1,1,1.76323184,OWN,0,D17
H01358,1,1,2.16894129,OWN,0,D17
H01360,1,1,2.14874373,OWN,0,D17
H01363,1,1,3.50049766,RENT,1,D18
H01367,1,1,3.06417645,OWN,1,D18
H01369,1,1,3.05067129,OWN,0,D18
H01385,1,1,2.39865907,RENT,1,D18
H01404,1,1,2.48821108,OWN,0,D18
H01413,1,1,2.84008603,RENT,0,D18
H01420,1,1,1.97966729,OWN,0,D18
H01427,1,1,2.13472388,OWN,0,D18
H01433,1,1,2.38376007,OWN,1,D18
H01446,1,1,2.69365215,OWN,1,D19
H01447,1,1,3.06808932,RENT,1,D19
H01450,1,1,3.22525651,RENT,1,D19
H01475,1,1,3.16442958,RENT,1,D19
H01477,1,1,2.12544308,RENT,0,D19
H01483,1,1,2.44040073,RENT,1,D19
H01485,1,1,2.49635345,OWN,0,D19
H01486,1,1,2.08919581,OWN,0,D19
H01488,1,1,2.10021389,RENT,1,D19
H01493,1,1,2.59752078,RENT,1,D19
H01495,1,1,1.63205475,OWN,1,D19
H01515,1,1,2.33614271,OWN,0,D19
H01516,1,1,1.61160429,OWN,0,D19
H01533,1,1,2.61114890,OWN,0,D20
H01546,1,1,2.90784799,OWN,0,D20
H01552,1,1,2.43647762,OWN,0,D20
H01553,1,1,2.35196430,OWN,1,D20
H01556,1,1,3.48712373,RENT,1,D20
H01560,1,1,2.07068644,OWN,0,D20
H01566,1,1,2.35871616,RENT,1,D20
H01575,1,1,2.19817706,RENT,0,D20
H01589,1,1,1.71479174,OWN,0,D20
H01590,1,1,2.26773925,OWN,1,D20
H01598,1,1,2.57015673,RENT,0,D20
H01604,1,1,2.55710065,OWN,1,D21
H01606,1,1,3.42708629,RENT,1,D21
H01621,1,1,2.77195425,OWN,1,D21
H01627,1,1,3.19793296,OWN,1,D21
H01637,1,1,2.81287445,OWN,0,D21
H01645,1,1,2.66658946,RENT,0,D21
H01650,1,1,2.10197842,OWN,0,D21
H01661,1,1,2.37598283,RENT,1,D21
H01665,1,1,2.17669239,OWN,0,D21
H01671,1,1,2.37072325,RENT,0,D21
H01675,1,1,2.17575991,OWN,0,D21
H01687,1,1,2.85964283,OWN,1,D22
H01692,1,1,3.05897695,RENT,1,D22
H01703,1,1,3.27862425,RENT,1,D22
H01705,1,1,3.09079098,RENT,1,D22
H01706,1,1,2.97780631,OWN,1,D22
H01716,1,1,2.64230312,OWN,1,D22
H01720,1,1,2.93541128,RENT,0,D22
H01722,1,1,2.71430107,OWN,1,D22
H01734,1,1,2.08492918,RENT,0,D22
H01737,1,1,2.25258490,OWN,0,D22
H01746,1,1,2.30188046,OWN,0,D22
H01748,1,1,2.18519338,RENT,0,D22
H01760,1,1,1.82025891,OWN,0,D22
H01763,1,1,3.35308734,OWN,1,D23
H01764,1,1,3.11502353,RENT,1,D23
H01766,1,1,2.81734370,RENT,0,D23
H01772,1,1,3.08967879,OWN,1,D23
H01779,1,1,2.99981146,RENT,0,D23
H01785,1,1,2.18926424,OWN,0,D23
H01788,1,1,2.29038649,OWN,1,D23
H01802,1,1,2.18149747,OWN,0,D23
H01807,1,1,1.65537967,RENT,1,D23
H01813,1,1,2.02516334,OWN,0,D23
H01821,1,1,2.35112209,RENT,0,D23
H01824,1,1,2.48282768,RENT,0,D23
H01830,1,1,2.41901982,RENT,0,D23
H01842,1,1,2.57848224,OWN,1,D24
H01867,1,1,2.45698032,RENT,0,D24
H01875,1,1,1.95023194,OWN,0,D24
H01876,1,1,2.10974835,RENT,0,D24
H01897,1,1,2.85750554,RENT,1,D24
H01901,1,1,1.85783953,OWN,0,D24
H01906,1,1,2.22575099,OWN,0,D24
H01907,1,1,1.88370037,OWN,0,D24
H01914,1,1,1.29636650,OWN,0,D24
H01916,1,1,1.87238876,OWN,0,D24
H01919,1,1,2.37887218,OWN,1,D24
H01933,1,1,3.06158989,OWN,1,D25
H01938,1,1,3.40449788,RENT,0,D25
H01954,1,1,2.40528764,OWN,0,D25
H01960,1,1,2.92000311,OWN,0,D25
H01975,1,1,2.36635438,OWN,0,D25
H01981,1,1,2.58399210,RENT,0,D25
H01982,1,1,2.73900951,RENT,0,D25
H01993,1,1,2.26648675,RENT,0,D25
H02005,1,1,3.30293808,RENT,1,D26
H02008,1,1,3.03268201,OWN,1,D26
H02011,1,1,3.02396492,OWN,1,D26
H02025,1,1,2.82518641,RENT,0,D26
H02031,1,1,2.47562482,RENT,0,D26
H02033,1,1,2.91647297,OWN,1,D26
H02042,1,1,2.06788416,OWN,0,D26
H02045,1,1,2.74293048,RENT,0,D26
H02050,1,1,2.80755281,OWN,0,D26
H02052,1,1,2.66451258,RENT,0,D26
H02054,1,1,2.86160531,RENT,0,D26
H02060,1,1,2.76331500,RENT,1,D26
H02063,1,1,2.79754923,RENT,0,D26
H02064,1,1,2.51651880,OWN,1,D26
H02071,1,1,2.42838942,OWN,0,D26
