domain_id,region,urban_share,hh_count_census,urban_hh_count_census,eligible_count_census
D01,EAST,0.300000,80,24,133
D02,EAST,0.300000,80,24,114
D03,EAST,0.450000,80,36,131
D04,EAST,0.450000,80,36,138
D05,EAST,0.600000,80,48,129
D06,EAST,0.600000,80,48,137
D07,EAST,0.300000,80,24,134
D08,EAST,0.300000,80,24,144
D09,NORTH,0.300000,80,24,139
D10,NORTH,0.300000,80,24,139
D11,NORTH,0.450000,80,36,141
D12,NORTH,0.450000,80,36,140
D13,NORTH,0.600000,80,48,129
D14,NORTH,0.600000,80,48,125
D15,NORTH,0.300000,80,24,145
D16,NORTH,0.300000,80,24,116
D17,SOUTH,0.300000,80,24,139
D18,SOUTH,0.300000,80,24,135
D19,SOUTH,0.450000,80,36,130
D20,SOUTH,0.450000,80,36,155
D21,SOUTH,0.600000,80,48,151
D22,SOUTH,0.600000,80,48,119
D23,SOUTH,0.300000,80,24,120
D24,SOUTH,0.300000,80,24,137
D25,WEST,0.250000,80,20,129
D26,WEST,0.250000,80,20,141
D27,WEST,0.400000,80,32,142
D28,WEST,0.400000,80,32,144
D29,WEST,0.550000,80,44,123
D30,WEST,0.550000,80,44,131
D31,WEST,0.250000,80,20,138
D32,WEST,0.250000,80,20,134
