domain_id,status,est_ate,est_se
D01,unidentified,,
D02,identified,0.336342,0.003836
D03,identified,-0.107020,0.217471
D04,identified,0.880415,0.212324
D05,identified,0.732368,0.184850
D06,unidentified,,
D07,identified,0.087269,0.174234
D08,identified,0.024481,0.000000
D09,identified,-0.177245,0.182584
D10,identified,0.709787,0.021777
D11,identified,0.864710,0.000000
D12,identified,0.931761,0.164878
D13,identified,0.667644,0.823814
D14,identified,0.253740,0.417571
D15,identified,0.633916,0.130677
D16,unidentified,,
D17,identified,-0.466681,0.094117
D18,identified,0.728902,0.127330
D19,identified,0.567056,0.122754
D20,identified,0.596654,0.000000
D21,identified,0.696674,0.004918
D22,identified,0.348747,0.845349
D23,identified,0.395677,0.174470
D24,identified,0.778057,0.053309
D25,identified,0.250306,0.123425
D26,unidentified,,
D27,identified,-0.186718,0.074511
D28,identified,0.091758,0.523644
D29,identified,1.478439,0.203125
D30,identified,0.196722,0.013030
D31,unidentified,,
D32,identified,0.161305,0.178864
