hh_id,stratum,psu,domain_id,region,urban,tenure,design_weight,responded,phase2,y,eligible_count
H00002,ST01,P02,D01,EAST,1,RENT,9.45454545,1,1,2.29409591,1
H00025,ST01,P01,D01,EAST,0,RENT,5.09090909,1,1,1.25043957,1
H00031,ST01,P01,D01,EAST,0,RENT,5.09090909,1,1,1.50630365,1
H00034,ST01,P02,D01,EAST,0,RENT,5.09090909,1,1,1.33629087,1
H00042,ST01,P02,D01,EAST,0,RENT,5.09090909,1,1,1.17621472,1
H00051,ST01,P01,D01,EAST,0,OWN,5.09090909,1,1,1.15678822,1
H00057,ST01,P01,D01,EAST,0,OWN,5.09090909,1,1,0.99270609,1
H00073,ST01,P01,D01,EAST,0,OWN,5.09090909,1,1,1.15683599,1
H00087,ST01,P01,D02,EAST,1,RENT,9.45454545,1,1,2.26842037,1
H00088,ST01,P02,D02,EAST,1,OWN,9.45454545,1,1,2.27536706,1
H00092,ST01,P02,D02,EAST,1,RENT,9.45454545,1,1,2.22072030,1
H00097,ST01,P01,D02,EAST,1,OWN,9.45454545,1,1,2.34212561,1
H00098,ST01,P02,D02,EAST,1,OWN,9.45454545,1,1,2.25509264,1
H00100,ST01,P02,D02,EAST,1,RENT,9.45454545,1,1,2.11653860,1
H00102,ST01,P02,D02,EAST,1,OWN,9.45454545,1,1,1.68272407,1
H00107,ST01,P01,D02,EAST,0,OWN,5.09090909,1,1,1.11665674,1
H00119,ST01,P01,D02,EAST,0,OWN,5.09090909,1,1,1.45298718,1
H00130,ST01,P02,D02,EAST,0,OWN,5.09090909,1,1,1.28856636,1
H00133,ST01,P01,D02,EAST,0,RENT,5.09090909,1,1,1.48348733,1
H00137,ST01,P01,D02,EAST,0,OWN,5.09090909,1,1,1.22179413,1
H00146,ST01,P02,D02,EAST,0,OWN,5.09090909,1,1,0.93628275,1
H00160,ST01,P02,D02,EAST,0,RENT,5.09090909,1,1,1.80150604,1
H00166,ST02,P04,D03,EAST,1,OWN,9.45454545,1,1,1.52261289,1
H00169,ST02,P03,D03,EAST,1,OWN,9.45454545,1,1,2.51089592,1
H00172,ST02,P04,D03,EAST,1,RENT,9.45454545,1,1,2.09562013,1
H00173,ST02,P03,D03,EAST,1,OWN,9.45454545,1,1,1.89675402,1
H00183,ST02,P03,D03,EAST,1,OWN,9.45454545,1,1,1.79307200,1
H00184,ST02,P04,D03,EAST,1,RENT,9.45454545,1,1,2.66408251,1
H00192,ST02,P04,D03,EAST,1,RENT,9.45454545,1,1,2.30317558,1
H00193,ST02,P03,D03,EAST,1,RENT,9.45454545,1,1,2.58882244,1
H00196,ST02,P04,D03,EAST,1,RENT,9.45454545,1,1,2.36081194,1
H00225,ST02,P03,D03,EAST,0,OWN,5.09090909,1,1,1.49989734,1
H00230,ST02,P04,D03,EAST,0,RENT,5.09090909,1,1,1.34481790,1
H00234,ST02,P04,D03,EAST,0,RENT,5.09090909,1,1,1.69500954,1
H00243,ST02,P03,D04,EAST,1,OWN,9.45454545,1,1,1.91653466,1
H00248,ST02,P04,D04,EAST,1,RENT,9.45454545,1,1,2.38406750,1
H00249,ST02,P03,D04,EAST,1,RENT,9.45454545,1,1,2.37454549,1
H00251,ST02,P03,D04,EAST,1,RENT,9.45454545,1,1,2.07650347,1
H00257,ST02,P03,D04,EAST,1,RENT,9.45454545,1,1,2.52926830,1
H00258,ST02,P04,D04,EAST,1,RENT,9.45454545,1,1,2.71633123,1
H00269,ST02,P03,D04,EAST,1,OWN,9.45454545,1,1,2.17584414,1
H00276,ST02,P04,D04,EAST,1,RENT,9.45454545,1,1,2.40163694,1
H00289,ST02,P03,D04,EAST,0,OWN,5.09090909,1,1,1.08874613,1
H00300,ST02,P04,D04,EAST,0,OWN,5.09090909,1,1,1.58034904,1
H00323,ST03,P05,D05,EAST,1,RENT,9.45454545,1,1,2.23264456,1
H00325,ST03,P05,D05,EAST,1,OWN,9.45454545,1,1,2.24032294,1
H00326,ST03,P06,D05,EAST,1,OWN,9.45454545,1,1,2.32492050,1
H00327,ST03,P05,D05,EAST,1,RENT,9.45454545,1,1,2.39358747,1
H00329,ST03,P05,D05,EAST,1,RENT,9.45454545,1,1,2.09516506,1
H00333,ST03,P05,D05,EAST,1,RENT,9.45454545,1,1,2.30354256,1
H00339,ST03,P05,D05,EAST,1,OWN,9.45454545,1,1,2.21170574,1
H00350,ST03,P06,D05,EAST,1,RENT,9.45454545,1,1,2.22884772,1
H00356,ST03,P06,D05,EAST,1,OWN,9.45454545,1,1,2.01967375,1
H00365,ST03,P05,D05,EAST,1,RENT,9.45454545,1,1,2.59818566,1
H00367,ST03,P05,D05,EAST,1,OWN,9.45454545,1,1,2.07297048,1
H00370,ST03,P06,D05,EAST,0,OWN,5.09090909,1,1,0.84559827,1
H00406,ST03,P06,D06,EAST,1,RENT,9.45454545,1,1,1.78675095,1
H00417,ST03,P05,D06,EAST,1,RENT,9.45454545,1,1,2.46917064,1
H00418,ST03,P06,D06,EAST,1,OWN,9.45454545,1,1,2.16081274,1
H00422,ST03,P06,D06,EAST,1,RENT,9.45454545,1,1,2.28059186,1
H00426,ST03,P06,D06,EAST,1,RENT,9.45454545,1,1,2.66408330,1
H00430,ST03,P06,D06,EAST,1,OWN,9.45454545,1,1,2.28085875,1
H00431,ST03,P05,D06,EAST,1,RENT,9.45454545,1,1,2.46137625,1
H00443,ST03,P05,D06,EAST,1,OWN,9.45454545,1,1,1.97829675,1
H00444,ST03,P06,D06,EAST,1,RENT,9.45454545,1,1,2.77677850,1
H00450,ST03,P06,D06,EAST,0,OWN,5.09090909,1,1,1.45705784,1
H00484,ST04,P08,D07,EAST,1,OWN,9.45454545,1,1,2.32140554,1
H00497,ST04,P07,D07,EAST,1,OWN,9.45454545,1,1,2.01383938,1
H00502,ST04,P08,D07,EAST,1,RENT,9.45454545,1,1,2.77256377,1
H00503,ST04,P07,D07,EAST,1,RENT,9.45454545,1,1,2.24913038,1
H00504,ST04,P08,D07,EAST,1,OWN,9.45454545,1,1,2.13165110,1
H00506,ST04,P08,D07,EAST,0,OWN,5.09090909,1,1,1.11836466,1
H00534,ST04,P08,D07,EAST,0,OWN,5.09090909,1,1,1.02453403,1
H00545,ST04,P07,D07,EAST,0,OWN,5.09090909,1,1,1.55660067,1
H00556,ST04,P08,D07,EAST,0,RENT,5.09090909,1,1,1.72755777,1
H00557,ST04,P07,D07,EAST,0,OWN,5.09090909,1,1,1.38153611,1
H00568,ST04,P08,D08,EAST,1,OWN,9.45454545,1,1,2.26370867,1
H00575,ST04,P07,D08,EAST,1,RENT,9.45454545,1,1,2.41441252,1
H00585,ST04,P07,D08,EAST,0,OWN,5.09090909,1,1,1.12949736,1
H00589,ST04,P07,D08,EAST,0,RENT,5.09090909,1,1,1.34693452,1
H00612,ST04,P08,D08,EAST,0,RENT,5.09090909,1,1,1.89348380,1
H00617,ST04,P07,D08,EAST,0,RENT,5.09090909,1,1,1.84932586,1
H00618,ST04,P08,D08,EAST,0,RENT,5.09090909,1,1,1.67013968,1
H00623,ST04,P07,D08,EAST,0,RENT,5.09090909,1,1,1.56091507,1
H00628,ST04,P08,D08,EAST,0,RENT,5.09090909,1,1,1.47297266,1
H00631,ST04,P07,D08,EAST,0,OWN,5.09090909,1,1,0.99440744,1
H00632,ST04,P08,D08,EAST,0,OWN,5.09090909,1,1,1.51351801,1
H00637,ST04,P07,D08,EAST,0,RENT,5.09090909,1,1,1.65600294,1
H00643,ST05,P09,D09,NORTH,1,OWN,9.45454545,1,1,2.29675586,1
H00646,ST05,P10,D09,NORTH,1,OWN,9.45454545,1,1,2.34106884,1
H00654,ST05,P10,D09,NORTH,1,RENT,9.45454545,1,1,2.83863558,1
H00663,ST05,P09,D09,NORTH,1,RENT,9.45454545,1,1,2.69542632,1
H00673,ST05,P09,D09,NORTH,0,RENT,5.09090909,1,1,2.13662464,1
H00683,ST05,P09,D09,NORTH,0,OWN,5.09090909,1,1,1.53662643,1
H00688,ST05,P10,D09,NORTH,0,OWN,5.09090909,1,1,1.57677512,1
H00692,ST05,P10,D09,NORTH,0,OWN,5.09090909,1,1,1.31486411,1
H00701,ST05,P09,D09,NORTH,0,OWN,5.09090909,1,1,1.66446304,1
H00703,ST05,P09,D09,NORTH,0,OWN,5.09090909,1,1,1.53293531,1
H00704,ST05,P10,D09,NORTH,0,OWN,5.09090909,1,1,1.58865766,1
H00705,ST05,P09,D09,NORTH,0,RENT,5.09090909,1,1,1.88222350,1
H00710,ST05,P10,D09,NORTH,0,RENT,5.09090909,1,1,2.08799697,1
H00722,ST05,P10,D10,NORTH,1,RENT,9.45454545,1,1,2.35271262,1
H00724,ST05,P10,D10,NORTH,1,RENT,9.45454545,1,1,2.53743029,1
H00727,ST05,P09,D10,NORTH,1,OWN,9.45454545,1,1,2.30997307,1
H00733,ST05,P09,D10,NORTH,1,OWN,9.45454545,1,1,2.41710386,1
H00734,ST05,P10,D10,NORTH,1,RENT,9.45454545,1,1,2.49280156,1
H00737,ST05,P09,D10,NORTH,1,OWN,9.45454545,1,1,2.47153848,1
H00752,ST05,P10,D10,NORTH,0,RENT,5.09090909,1,1,1.65209053,1
H00792,ST05,P10,D10,NORTH,0,OWN,5.09090909,1,1,1.40697235,1
H00793,ST05,P09,D10,NORTH,0,OWN,5.09090909,1,1,1.56094214,1
H00808,ST06,P12,D11,NORTH,1,RENT,9.45454545,1,1,2.62999968,1
H00811,ST06,P11,D11,NORTH,1,OWN,9.45454545,1,1,2.67854428,1
H00813,ST06,P11,D11,NORTH,1,RENT,9.45454545,1,1,2.93017610,1
H00819,ST06,P11,D11,NORTH,1,OWN,9.45454545,1,1,2.61901862,1
H00829,ST06,P11,D11,NORTH,1,OWN,9.45454545,1,1,2.07596810,1
H00838,ST06,P12,D11,NORTH,0,RENT,5.09090909,1,1,1.66737497,1
H00854,ST06,P12,D11,NORTH,0,OWN,5.09090909,1,1,1.97565540,1
H00861,ST06,P11,D11,NORTH,0,RENT,5.09090909,1,1,2.01408511,1
H00865,ST06,P11,D11,NORTH,0,OWN,5.09090909,1,1,1.72131581,1
H00872,ST06,P12,D11,NORTH,0,OWN,5.09090909,1,1,1.58877782,1
H00873,ST06,P11,D11,NORTH,0,OWN,5.09090909,1,1,1.55637468,1
H00880,ST06,P12,D11,NORTH,0,RENT,5.09090909,1,1,2.00000042,1
H00883,ST06,P11,D12,NORTH,1,RENT,9.45454545,1,1,3.31250215,1
H00887,ST06,P11,D12,NORTH,1,RENT,9.45454545,1,1,2.65007877,1
H00892,ST06,P12,D12,NORTH,1,OWN,9.45454545,1,1,2.30473906,1
H00899,ST06,P11,D12,NORTH,1,OWN,9.45454545,1,1,2.21671060,1
H00900,ST06,P12,D12,NORTH,1,OWN,9.45454545,1,1,2.47547984,1
H00926,ST06,P12,D12,NORTH,0,OWN,5.09090909,1,1,2.07534679,1
H00936,ST06,P12,D12,NORTH,0,RENT,5.09090909,1,1,1.78062668,1
H00938,ST06,P12,D12,NORTH,0,OWN,5.09090909,1,1,1.39186538,1
H00940,ST06,P12,D12,NORTH,0,RENT,5.09090909,1,1,1.73814646,1
H00949,ST06,P11,D12,NORTH,0,RENT,5.09090909,1,1,1.88400347,1
H00962,ST07,P14,D13,NORTH,1,OWN,9.45454545,1,1,2.59330642,1
H00969,ST07,P13,D13,NORTH,1,OWN,9.45454545,1,1,2.77910772,1
H00978,ST07,P14,D13,NORTH,1,RENT,9.45454545,1,1,2.93503686,1
H00985,ST07,P13,D13,NORTH,1,OWN,9.45454545,1,1,2.32551611,1
H00986,ST07,P14,D13,NORTH,1,OWN,9.45454545,1,1,2.47477200,1
H00990,ST07,P14,D13,NORTH,1,OWN,9.45454545,1,1,2.86143700,1
H01006,ST07,P14,D13,NORTH,1,OWN,9.45454545,1,1,2.32265618,1
H01015,ST07,P13,D13,NORTH,0,OWN,5.09090909,1,1,1.76977758,1
H01016,ST07,P14,D13,NORTH,0,RENT,5.09090909,1,1,1.61167712,1
H01019,ST07,P13,D13,NORTH,0,OWN,5.09090909,1,1,1.99155625,1
H01026,ST07,P14,D13,NORTH,0,RENT,5.09090909,1,1,2.17819741,1
H01031,ST07,P13,D13,NORTH,0,OWN,5.09090909,1,1,1.40439090,1
